region of parenchyma of spleen,RID31697.Anatomy
region of wall of small intestine,RID31411.Anatomy
head of part of muscle organ,RID42155.Anatomy
wall of pancreatic duct tree,RID30206.Anatomy
muscle layer of region of uterine tube,RID29297.Anatomy
region of wall of stomach,RID30208.Anatomy
carina,RID1248.Anatomy
region of muscle body,RID40489.Anatomy
region of wall of male urethra,RID39022.Anatomy
region of wall of prostatic part of urethra,RID43513.Anatomy
region of wall of anal canal,RID39062.Anatomy
portal triad,RID30759.Anatomy
region of prostatic capsule,RID43431.Anatomy
region of submucosa,RID29221.Anatomy
region of peripheral zone of prostate,RID38957.Anatomy
region of skeletal muscle body,RID46580.Anatomy
region of muscle layer of organ,RID29385.Anatomy
myometrium of zone of uterus,RID30679.Anatomy
region of leptomeningeal sac,RID13763.Anatomy
region of ejaculatory duct,RID38965.Anatomy
region of wall of esophagus,RID31132.Anatomy
surface papilla,RID30089.Anatomy
wall of pancreatic acinus,RID32862.Anatomy
anatomical fold,RID13289.Anatomy
region of wall of biliary tree,RID30684.Anatomy
region of wall of heart,RID39297.Anatomy
region of muscle layer of urethra,RID43500.Anatomy
head proper of muscle organ,RID39575.Anatomy
posterior wall of ascending colon,RID32938.Anatomy
anterior wall of ascending colon,RID32937.Anatomy
posterior wall of rectum,RID32948.Anatomy
anterior wall of cecum,RID32939.Anatomy
wall of colon,RID32930.Anatomy
anterior wall of descending colon,RID32941.Anatomy
posterior wall of cecum,RID32940.Anatomy
anterior wall of transverse colon,RID32943.Anatomy
wall of ascending colon,RID32932.Anatomy
wall of cecum,RID32931.Anatomy
posterior wall of descending colon,RID32942.Anatomy
wall of descending colon,RID32934.Anatomy
anterior wall of sigmoid colon,RID32945.Anatomy
posterior wall of transverse colon,RID32944.Anatomy
wall of transverse colon,RID32933.Anatomy
anterior wall of rectum,RID32947.Anatomy
wall of rectum,RID32936.Anatomy
wall of sigmoid colon,RID32935.Anatomy
posterior wall of sigmoid colon,RID32946.Anatomy
visceral serous membrane,RID34909.Anatomy
region of pleura,RID34911.Anatomy
parietal serous membrane,RID35858.Anatomy
visceral pleura,RID1371.Anatomy
region of visceral pleura,RID34912.Anatomy
region of parietal pleura,RID34910.Anatomy
arbitrary subdivision of visceral pleura,RID34913.Anatomy
apical pleura,RID1365.Anatomy
mediastinal pleura,RID1368.Anatomy
costal pleura,RID1366.Anatomy
diaphragmatic pleura,RID1367.Anatomy
visceral serous pericardium,RID1427.Anatomy
parietal serous pericardium,RID1428.Anatomy
parietal pleura,RID1370.Anatomy
region of prostatic stroma,RID34945.Anatomy
region of anterior fibromuscular stroma of prostate,RID43496.Anatomy
stroma of glandular part of prostate,RID38907.Anatomy
stroma of nonglandular part of prostate,RID38908.Anatomy
prostatic stroma proper,RID38909.Anatomy
stroma of transition zone of prostate,RID38913.Anatomy
